ξατιμάζω,v,----------,,,,,,0
39264,ε13184,ἐπιτράπεζος,a,aps---cn2-,ἐπιτράπεζος ἐπιτράπεζος ἐπιτράπεζον,,,,,0
39265,ε13185,ἐπιτραπέζωμα,n,n-s---nn3t,ἐπιτραπεζώματος,,,,,0
39266,ε13186,ἐπιτραπέουσι,n,----------,,,,,,0
39267,ε13187,ἐπιτραχήλιος,a,aps---cn2-,ἐπιτραχήλιος ἐπιτραχήλιος ἐπιτραχήλιον,,,,,0
39268,ε13190,ἐπιτρεπτέον,v,----------,,,,,,0
39269,ε13191,ἐπιτρεπτικός,a,aps---mn1-,ἐπιτρεπτικός ἐπιτρεπτική ἐπιτρεπτικόν,,,,,0
39270,ε13192,ἐπιτρέπω,v,----------,,,,,,0
39271,ε13193,ἐπιτρέφω,v,----------,,,,,,0
39272,ε13194,ἐπιτρέχω,v,----------,,,,,,0
39273,ε13195,ἐπίτρησις,n,n-s---fn3v,ἐπιτρησέως,,,,,0
39274,ε13196,ἐπιτριακοστὸς,n,----------,,,,,,0
39275,ε13188,ἐπιτρεπδεύτερος,n,----------,,,,,,0
39276,ε13189,ἐπιτρέππεμπτος,n,----------,,,,,,0
39277,ε13197,ἐπιτριβή,n,n-s---fn1e,ἐπιτριβῆς,,,,,0
39278,ε13198,ἐπιτρίβω,v,----------,,,,,,0
39279,ε13199,ἐπιτριηραρχέω,v,----------,,,,,,0
39281,ε13201,ἐπιτριήραρχος,n,n-s---mn2-,ἐπιτριηράρχου,,,,,0
39282,ε13202,ἐπιτριμερής,a,aps---cn5s,ἐπιτριμερής ἐπιτριμερής ἐπιτριμερές,,,,,0
39283,ε13203,ἐπιτριμμός,n,----------,,,,,,0
39284,ε13204,ἐπιτριπτικός,a,aps---mn1-,ἐπιτριπτικός ἐπιτριπτική ἐπιτριπτικόν,,,,,0
39285,ε13205,ἐπίτριπτος,a,aps---cn2-,ἐπίτριπτος ἐπίτριπτος ἐπίτριπτον,,,,,0
39286,ε13206,ἐπίτριτος,a,aps---cn2-,ἐπίτριτος ἐπίτριτος ἐπίτριτον,,aps---mn1-=ἐπίτριτος aps---fn1-=ἐπίτριτα aps---nn1-=ἐπίτριτον,,,0
39287,ε13207,ἐπιτριτόω,v,----------,,,,,,0
39288,ε13208,ἐπίτριψις,n,n-s---fn3v,ἐπιτριψέως,,,,,0
39289,ε13209,ἐπιτρομέω,v,----------,,,,,,0
39290,ε13210,ἐπίτρομος,a,aps---cn2-,ἐπίτρομος ἐπίτρομος ἐπίτρομον,,,,,0
39291,ε13211,ἐπιτροπάδην,r,----------,,,,,,0
39292,ε13212,ἐπιτροπαῖος,a,aps---mn1-,ἐπιτροπαῖος ἐπιτροπαῖα ἐπιτροπαῖον,,,,,0
39293,ε13213,ἐπιτροπεία,n,n-s---fn1l,ἐπιτροπείας,,,,,0
39295,ε13215,ἐπιτρόπευσις,n,n-s---fn3v,ἐπιτροπευσέως,,,,,0
39296,ε13216,ἐπιτροπευτικός,a,aps---mn1-,ἐπιτροπευτικός ἐπιτροπευτική ἐπιτροπευτικόν,,,,,0
39298,ε13218,ἐπιτροπή,n,n-s---fn1e,ἐπιτροπῆς,,,,,0
39299,ε13219,ἐπιτροπία,n,n-s---fn1l,ἐπιτροπίας,,,,,0
39300,ε13220,ἐπιτροπιάζω,v,----------,,,,,,0
39302,ε13222,ἐπίτροπος,a,aps---cn2-,ἐπίτροπος ἐπίτροπος ἐπίτροπον,,,,,0
39303,ε13223,ἐπιτροφή,n,n-s---fn1e,ἐπιτροφῆς,,,,,0
39304,ε13224,ἐπιτροχάδην,r,----------,,,,,,0
39305,ε13225,ἐπιτροχάζω,v,----------,,,,,,0
39306,ε13226,ἐπιτρόχαλος,a,----------,,,,,,0
39307,ε13227,ἐπιτροχασμός,n,----------,,,,,,0
39308,ε13228,ἐπιτροχαστέον,a,----------,,,,,,0
39309,ε13229,ἐπιτροχάω,v,----------,,,,,,0
39310,ε13230,ἐπιτροχίζω,v,----------,,,,,,0
39311,ε13231,ἐπίτροχος,a,aps---cn2-,ἐπίτροχος ἐπίτροχος ἐπίτροχον,,,,,0
39312,ε13232,ἐπιτρύζω,v,----------,,,,,,0
39313,ε13233,ἐπιτρυπάω,v,----------,,,,,,0
39314,ε13234,ἐπιτρυφάω,v,----------,,,,,,0
39315,ε13235,ἐπιτρώγω,v,----------,,,,,,0
39316,ε13236,ἐπιτρωπάω,v,----------,,,,,,0
39317,ε13237,ἐπιτυγχάνω,v,----------,,,,,,0
39318,ε13238,ἐπιτυλίσσω,v,----------,,,,,,0
39319,ε13239,ἐπιτυμβίδιος,a,aps---mn1-,ἐπιτυμβίδιος ἐπιτυμβίδια ἐπιτυμβίδιον,,,,,0
39321,ε13241,ἐπιτυραννέω,v,----------,,,,,,0
39322,ε13242,ἐπίτυρον,n,n-s---nn2-,ἐπιτύρου,,,,,0
39323,ε13243,ἐπιτυφλόω,v,----------,,,,,,0
39324,ε13244,ἐπιτύφομαι,v,----------,,,,,,0
39325,ε13245,ἐπιτύχημα,n,n-s---nn3t,ἐπιτυχήματος,,,,,0
39326,ε13246,ἐπιτυχής,a,aps---cn5s,ἐπιτυχής ἐπιτυχής ἐπιτυχές,,,,,0
39327,ε13247,ἐπιτυχία,n,n-s---fn1l,ἐπιτυχίας,,,,,0
39328,ε13248,ἐπιτωθάζω,v,----------,,,,,,0
39329,ε13249,ἐπιτωθασμός,n,----------,,,,,,0
39330,ε13250,ἐπίϋδρος,a,aps---cn2-,ἐπίϋδρος ἐπίϋδρος ἐπίϋδρον,,,,,0
39331,ε13251,ἐπιφαγεῖν,n,----------,,,,,,0
39332,ε13252,ἐπιφαιδρύνω,v,----------,,,,,,0
39333,ε13253,ἐπιφαίνω,v,----------,,,,/e.pi.pʰaí̯.nɔː/,,0
39334,ε13254,ἐπίφαλλος,n,n-s---mn2-,ἐπιφάλλου,,,,,0
39335,ε13256,ἐπιφάνεια,n,----------,,,,,,0
39336,ε13255,ἐπιφάνεια,n,n-p---nn2-,ἐπιφανείων,,,,,0
39337,ε13257,ἐπιφανής,a,aps---cn5s,ἐπιφανής ἐπιφανής ἐπιφανές,,,/e.pi.pʰa.nɛ̌ːs/,,0
39338,ε13258,ἐπίφαντος,a,aps---cn2-,ἐπίφαντος ἐπίφαντος ἐπίφαντον,,,,,0
39339,ε13259,ἐπιφαρμάσσω,v,----------,,,,,,0
39340,ε13260,ἐπίφασις,n,n-s---fn3v,ἐπιφασέως,,,,,0
39341,ε13261,ἐπιφάσκω,v,----------,,,,,,0
39342,ε13262,ἐπιφατνίδιος,a,aps---mn1-,ἐπιφατνίδιος ἐπιφατνίδια ἐπιφατνίδιον,,,,,0
39343,ε13263,ἐπίφατος,a,aps---cn2-,ἐπίφατος ἐπίφατος ἐπίφατον,,,,,0
39344,ε13264,ἐπιφαυλίζω,v,----------,,,,,,0
39345,ε13265,ἐπιφαύσκω,v,----------,,,,,,0
39346,ε13266,ἐπιφέρβομαι,v,----------,,,,,,0
39347,ε13267,ἐπιφερής,a,aps---cn5s,ἐπιφερής ἐπιφερής ἐπιφερές,,,,,0
39348,ε13268,ἐπιφέρνια,n,n-p---nn2-,ἐπιφερνίων,,,,,0
39349,ε13269,ἐπιφέρω,v,----------,,,,/e.pi.pʰé.rɔː/,,0
39351,ε13271,ἐπίφημι,v,----------,,,,,,0
39352,ε13272,ἐπιφημίζω,v,----------,,,,,,0
39353,ε13273,ἐπιφήμισμα,n,n-s---nn3t,ἐπιφημίσματος,,,,,0
39354,ε13274,ἐπιφημισμός,n,----------,,,,,,0
39355,ε13275,ἐπιφημιστέον,v,----------,,,,,,0
39356,ε13276,ἐπιφθάνω,v,----------,,,,,,0
39357,ε13277,ἐπιφθέγγομαι,v,----------,,,,,,0
39358,ε13278,ἐπίφθεγμα,n,n-s---nn3t,ἐπιφθέγματος,,,,,0
39360,ε13280,ἐπίφθεγξις,n,n-s---fn3v,ἐπιφθεγξέως,,,,,0
39361,ε13281,ἐπιφθίνω,v,----------,,,,,,0
39362,ε13282,ἐπιφθονέω,v,----------,,,,,,0
39364,ε13284,ἐπίφθορος,a,aps---cn2-,ἐπίφθορος ἐπίφθορος ἐπίφθορον,,,,,0
39365,ε13285,ἐπιφθύζω,v,----------,,,,,,0
39366,ε13286,ἐπιφιλοπονέομαι,v,----------,,,,,,0
39367,ε13287,ἐπιφιλοτιμέομαι,v,----------,,,,,,0
39368,ε13288,ἐπιφιλοτιμία,n,n-s---fn1l,ἐπιφιλοτιμίας,,,,,0
39369,ε13289,ἐπίφλεβος,a,aps---cn2-,ἐπίφλεβος ἐπίφλεβος ἐπίφλεβον,,,,,0
39370,ε13290,ἐπιφλεβοτομέω,v,----------,,,,,,0
39371,ε13291,ἐπιφλεγέθω,v,----------,,,,,,0
39372,ε13292,ἐπιφλεγής,a,aps---cn5s,ἐπιφλεγής ἐπιφλεγής ἐπιφλεγές,,,,,0
39373,ε13293,ἐπίφλεγμα,n,n-s---nn3t,ἐπιφλέγματος,,,,,0
39374,ε13294,ἐπιφλεγμαίνω,v,----------,,,,,,0
39375,ε13295,ἐπιφλέγω,v,----------,,,,,,0
39376,ε13296,ἐπίφλεξις,n,n-s---fn3v,ἐπιφλεξέως,,,,,0
39377,ε13297,ἐπιφλεύω,v,----------,,,,,,0
39378,ε13298,ἐπιφλόγισμα,n,n-s---nn3t,ἐπιφλογίσματος,,,,,0
39379,ε13299,ἐπιφλογώδης,a,aps---cn3s,ἐπιφλογώδης ἐπιφλογώδης ἐπιφλογώ͂δες,,,,,0
39380,ε13300,ἐπιφλυγμός,n,----------,,,,,,0
39381,ε13301,ἐπιφλυκταινόομαι,v,----------,,,,,,0
39382,ε13302,ἐπιφλύω,v,----------,,,,,,0
39383,ε13303,ἐπίφοβος,a,aps---cn2-,ἐπίφοβος ἐπίφοβος ἐπίφοβον,,,,,0
39384,ε13304,ἐπιφοινικίζω,v,----------,,,,,,0
39385,ε13305,ἐπιφοινίσσω,v,----------,,,,,,0
39386,ε13306,ἐπιφοιτάω,v,----------,,,,,,0
39387,ε13307,ἐπιφοιτεύω,v,----------,,,,,,0
39389,ε13309,ἐπίφοιτος,a,aps---cn2-,ἐπίφοιτος ἐπίφοιτος ἐπίφοιτον,,,,,0
39390,ε13310,ἐπιφονεύω,v,----------,,,,,,0
39391,ε13311,ἐπιφορά,n,n-s---fn1l,ἐπιφορᾶς,,,/e.pi.pʰo.rǎː/,,0
39392,ε13312,ἐπιφορέω,v,----------,,,,,,0
39393,ε13313,ἐπιφόρημα,n,n-s---nn3t,ἐπιφορήματος,,,,,0
39394,ε13314,ἐπιφορικός,a,aps---mn1-,ἐπιφορικός ἐπιφορική ἐπιφορικόν,,,,,0
39395,ε13315,ἐπίφορος,a,aps---cn2-,ἐπίφορος ἐπίφορος ἐπίφορον,,,,,0
39396,ε13316,ἐπιφορτίζω,v,----------,,,,,,0
39397,ε13317,ἐπιφορτισμός,n,----------,,,,,,0
39398,ε13318,ἐπίφραγμα,n,n-s---nn3t,ἐπιφράγματος,,,,,0
39399,ε13319,ἐπιφραδέως,r,----------,,,,,,0
39400,ε13320,ἐπιφράζω,v,----------,,,,,,0
39401,ε13321,ἐπίφραξις,n,n-s---fn3v,ἐπιφραξέως,,,,,0
39402,ε13322,ἐπίφρασις,n,n-s---fn3v,ἐπιφρασέως,,,,,0
39405,ε13325,ἐπίφρικτος,a,aps---mn1-,ἐπίφρικτος ἐπιφρίκτη ἐπίφρικτον,,,,,0
39406,ε13326,ἐπιφρίσσω,v,----------,,,,,,0
39407,ε13327,ἐπιφρονέω,v,----------,,,,,,0
39408,ε13328,ἐπιφροσύνη,n,n-s---fn1e,ἐπιφροσύνης,,,,,0
39410,ε13330,ἐπίφρων,a,aps---cn3n,ἐπίφρων ἐπίφρων ἐπίφρον,,,,,0
39411,ε13331,ἐπιφύλαξ,n,----------,,,,,,0
39412,ε13332,ἐπιφυλάσσω,v,----------,,,,,,0
39413,ε13333,ἐπιφύλιος,a,aps---cn2-,ἐπιφύλιος ἐπιφύλιος ἐπιφύλιον,,,,,0
39414,ε13334,ἐπιφυλλίζω,v,----------,,,,,,0
39415,ε13335,ἐπιφυλλίς,n,n-s---fn3d,ἐπιφυλλίδος,,,,,0
39416,ε13336,ἐπιφυλλόκαρπος,a,aps---cn2-,ἐπιφυλλόκαρπος ἐπιφυλλόκαρπος ἐπιφυλλόκαρπον,,,,,0
39417,ε13337,ἐπίφυσις,n,n-s---fn3v,ἐπιφυσέως,,,,,0
39418,ε13338,ἐπιφυτεύω,v,----------,,,,,,0
39419,ε13339,ἐπιφύω,v,----------,,,,,,0
39420,ε13340,ἐπιφωνέω,v,----------,,,,,,0
39421,ε13341,ἐπιφώνημα,n,n-s---nn3t,ἐπιφωνήματος,,,,,0
39422,ε13342,ἐπιφωνηματικός,a,aps---mn1-,ἐπιφωνηματικός ἐπιφωνηματική ἐπιφωνηματικόν,,,,,0
39423,ε13343,ἐπιφωνημάτιον,n,n-s---nn2-,ἐπιφωνηματίου,,,,,0
39424,ε13344,ἐπιφώνησις,n,n-s---fn3v,ἐπιφωνησέως,,,,,0
39425,ε13345,ἐπιφωνητής,n,n-s---mn1e,ἐπιφωνητού,,,,,0
39426,ε13346,ἐπιφωνητικός,a,aps---mn1-,ἐπιφωνητικός ἐπιφωνητική ἐπιφωνητικόν,,,,,0
39427,ε13347,ἐπιφώσκω,v,----------,,,,,,0
39428,ε13348,ἐπιφωτίζω,v,----------,,,,,,0
39429,ε13349,ἐπιφωτισμός,n,----------,,,,,,0
39430,ε13350,ἐπιχαίνω,v,----------,,,,,,0
39431,ε13351,ἐπιχαιράγαθος,a,----------,,,,,,0
39432,ε13352,ἐπιχαιρεκακέω,v,----------,,,,,,0
39434,ε13354,ἐπιχαιρέκακος,a,aps---cn2-,ἐπιχαιρέκακος ἐπιχαιρέκακος ἐπιχαιρέκακον,,,,,0
39435,ε13355,ἐπιχαίρω,v,----------,,,,,,0
39436,ε13356,ἐπιχαλαζάω,v,----------,,,,,,0
39437,ε13357,ἐπιχαλαρός,a,aps---mn1-,ἐπιχαλαρός ἐπιχαλαρά ἐπιχαλαρόν,,,,,0
39438,ε13358,ἐπιχαλάω,v,----------,,,,,,0
39439,ε13359,ἐπιχαλεπαίνω,v,----------,,,,,,0
39440,ε13360,ἐπιχαλκεύω,v,----------,,,,,,0
39441,ε13363,ἐπιχαλκῖται,n,----------,,,,,,0
39442,ε13361,ἐπίχαλκος,a,aps---cn2-,ἐπίχαλκος ἐπίχαλκος ἐπίχαλκον,,,,,0
39443,ε13362,ἐπιχαλκόω,v,----------,,,,,,0
39444,ε13364,ἐπιχάραγμα,n,----------,,,,,,0
39445,ε13365,ἐπιχαράσσω,v,----------,,,,,,0
39446,ε13366,ἐπιχάρεια,n,n-s---fn1s,ἐπιχάρειας,,,,,0
39447,ε13367,ἐπιχαρής,a,aps---cn5s,ἐπιχαρής ἐπιχαρής ἐπιχαρές,,,,,0
39448,ε13368,ἐπιχαριεντίζομαι,v,----------,,,,,,0
39449,ε13369,ἐπιχαριεντισμός,n,----------,,,,,,0
39450,ε13370,ἐπιχαρίζομαι,v,----------,,,,,,0
39451,ε13371,ἐπίχαρις,n,----------,,,,,,0
39452,ε13372,ἐπίχαρμα,n,n-s---nn3t,ἐπιχάρματος,,,,,0
39453,ε13373,ἐπιχάροψ,n,----------,,,,,,0
39454,ε13374,ἐπιχάρτης,a,----------,,,,,,0
39458,ε13378,ἐπιχασμάομαι,v,----------,,,,,,0
39459,ε13379,ἐπιχαταί,r,----------,,,,,,0
39460,ε13380,ἐπιχαυνόω,v,----------,,,,,,0
39461,ε13381,ἐπιχέζω,v,----------,,,,,,0
39462,ε13382,ἐπιχειλής,a,aps---cn5s,ἐπιχειλής ἐπιχειλής ἐπιχειλές,,,,,0
39463,ε13383,ἐπιχειμάζω,v,----------,,,,,,0
39464,ε13384,ἐπιχειμέριος,a,aps---cn2-,ἐπιχειμέριος ἐπιχειμέριος ἐπιχειμέριον,,,,,0
39465,ε13385,ἐπιχειρέω,v,----------,,,,,,0
39466,ε13386,ἐπιχείρημα,n,n-s---nn3t,ἐπιχειρήματος,,,,,0
39468,ε13388,ἐπιχείρησις,n,n-s---fn3v,ἐπιχειρησέως,,,,,0
39469,ε13389,ἐπιχειρητέον,v,----------,,,,,,0
39470,ε13390,ἐπιχειρητής,n,n-s---mn1e,ἐπιχειρητού,,,,,0
39471,ε13391,ἐπιχειρητικός,a,aps---mn1-,ἐπιχειρητικός ἐπιχειρητική ἐπιχειρητικόν,,,,,0
39472,ε13392,ἐπιχειρίζω,v,----------,,,,,,0
39473,ε13393,ἐπιχειρογραφέω,v,----------,,,,,,0
39474,ε13394,ἐπίχειρον,n,n-s---nn2-,ἐπιχείρου,,,,,0
39475,ε13395,ἐπιχειρονομέω,v,----------,,,,,,0
39476,ε13396,ἐπιχειροτονέω,v,----------,,,,,,0
39477,ε13397,ἐπιχειροτονία,n,n-s---fn1l,ἐπιχειροτονίας,,,,,0
39478,ε13398,ἐπιχερρονησιάζω,v,----------,,,,,,0
39479,ε13399,ἐπιχέω,v,----------,,,,,,0
39481,ε13400,ἐπιχηρεύω,v,----------,,,,,,0
39482,ε13401,ἐπιχθόνιος,a,aps---cn2-,ἐπιχθόνιος ἐπιχθόνιος ἐπιχθόνιον,,,,,0
39483,ε13402,ἐπιχλευάζω,v,----------,,,,,,0
39484,ε13403,ἐπιχλιαίνω,v,----------,,,,,,0
39485,ε13404,ἐπίχλοος,a,aps---cn2-,ἐπίχλοος ἐπίχλοος ἐπίχλοον,,,,,0
39486,ε13405,ἐπιχνοάω,v,----------,,,,,,0
39487,ε13406,ἐπίχνοος,n,n-s---mn2-,ἐπιχνόου,,,,,0
39488,ε13407,ἐπιχοάζω,v,----------,,,,,,0
39489,ε13408,ἐπιχοή,n,n-s---fn1e,ἐπιχοῆς,,,,,0
39490,ε13409,ἐπιχολόομαι,v,----------,,,,,,0
39491,ε13410,ἐπίχολος,a,aps---cn2-,ἐπίχολος ἐπίχολος ἐπίχολον,,,,,0
39492,ε13411,ἐπιχορδίς,n,n-s---fn3d,ἐπιχορδίδος,,,,,0
39493,ε13412,ἐπιχορεύω,v,----------,,,,,,0
39494,ε13413,ἐπιχορηγέω,v,----------,,,,,,0
39495,ε13414,ἐπιχορήγημα,n,n-s---nn3t,ἐπιχορηγήματος,,,,,0
39496,ε13415,ἐπιχορηγητέον,a,----------,,,,,,0
39497,ε13416,ἐπιχορηγία,n,n-s---fn1l,ἐπιχορηγίας,,,,,0
39498,ε13417,ἐπιχοριαμβικὸν,n,----------,,,,,,0
39499,ε13418,ἐπιχορτάζω,v,----------,,,,,,0
39500,ε13419,ἐπιχραίνω,v,----------,,,,,,0
39501,ε13420,ἐπίχρασις,n,n-s---fn3v,ἐπιχρασέως,,,,,0
39502,ε13422,ἐπιχράω,v,----------,,,,,,0
39503,ε13421,ἐπιχράω,n,----------,,,,,,0
39504,ε13423,ἐπιχράω,v,----------,,,,,,0
39505,ε13424,ἐπιχρεία,n,n-s---fn1l,ἐπιχρείας,,,,,0
39506,ε13425,ἐπίχρειον,n,n-s---nn2-,ἐπιχρείου,,,,,0
39507,ε13426,ἐπιχρεμέθω,v,----------,,,,,,0
39508,ε13427,ἐπιχρέμπτομαι,v,----------,,,,,,0
39509,ε13429,ἐπιχρηματίζω,v,----------,,,,,,0
39511,ε13431,ἐπιχρησιμεύω,v,----------,,,,,,0
39512,ε13432,ἐπιχρησμῳδέω,v,----------,,,,,,0
39513,ε13433,ἐπιχρίμπτω,v,----------,,,,,,0
39514,ε13434,ἐπίχρισις,n,n-s---fn3v,ἐπιχρισέως,,,,,0
39515,ε13435,ἐπίχρισμα,n,n-s---nn3t,ἐπιχρίσματος,,,,,0
39516,ε13436,ἐπιχριστέον,a,----------,,,,,,0
39517,ε13437,ἐπίχριστος,a,aps---cn2-,ἐπίχριστος ἐπίχριστος ἐπίχριστον,,,,,0
39518,ε13438,ἐπιχρίω,v,----------,,,,,,0
39519,ε13439,ἐπιχροά,n,n-s---fn1l,ἐπιχροᾶς,,,,,0
39520,ε13440,ἐπιχρόϊσις,n,n-s---fn3v,ἐπιχροϊσέως,,,,,0
39521,ε13441,ἐπιχρονίζω,v,----------,,,,,,0
39523,ε13443,ἐπίχροος,a,aps---cn2-,ἐπίχροος ἐπίχροος ἐπίχροον,,,,,0
39524,ε13444,ἐπίχρυσος,a,aps---cn2-,ἐπίχρυσος ἐπίχρυσος ἐπίχρυσον,,,,,0
39525,ε13445,ἐπιχρυσόω,v,----------,,,,,,0
39526,ε13428,ἐπιχρῴζω,v,----------,,,,,,0
39527,ε13446,ἐπιχρωματίζω,v,----------,,,,,,0
39528,ε13447,ἐπιχρωματικός,a,aps---mn1-,ἐπιχρωματικός ἐπιχρωματική ἐπιχρωματικόν,,,,,0
39529,ε13448,ἐπιχρωνῆν,n,----------,,,,,,0
39530,ε13449,ἐπιχρώννυμι,v,----------,,,,,,0
39531,ε13450,ἐπίχρωσις,n,n-s---fn3v,ἐπιχρωσέως,,,,,0
39532,ε13451,ἐπίχυμα,n,n-s---nn3t,ἐπιχύματος,,,,,0
39533,ε13452,ἐπιχύνω,v,----------,,,,,,0
39534,ε13453,ἐπίχυσις,n,n-s---fn3v,ἐπιχυσέως,,,,,0
39535,ε13454,ἐπιχυτέον,a,----------,,,,,,0
39536,ε13455,ἐπιχυτήρ,n,n-s---mn3r,ἐπιχυτῆρος,,,,,0
39537,ε13456,ἐπιχυτήριον,n,----------,,,,,,0
39538,ε13457,ἐπιχύτης,n,n-s---mn1e,ἐπιχύτου,,,,,0
39539,ε13458,ἐπίχυτος,a,aps---cn2-,ἐπίχυτος ἐπίχυτος ἐπίχυτον,,,,,0
39540,ε13459,ἐπιχωνεύω,v,----------,,,,,,0
39541,ε13460,ἐπιχώννυμι,v,----------,,,,,,0
39542,ε13461,ἐπιχώομαι,v,----------,,,,,,0
39543,ε13462,ἐπιχωρέω,v,----------,,,,,,0
39544,ε13463,ἐπιχώρησις,n,n-s---fn3v,ἐπιχωρησέως,,,,,0
39545,ε13464,ἐπιχωριάζω,v,----------,,,,,,0
39547,ε13466,ἐπίχωσις,n,n-s---fn3v,ἐπιχωσέως,,,,,0
39548,ε13467,ἐπιχωστέον,a,----------,,,,,,0
39549,ε13468,ἐπιψαίρω,v,----------,,,,,,0
39550,ε13469,ἐπιψακάζω,v,----------,,,,,,0
39551,ε13470,ἐπιψάλλω,v,----------,,,,,,0
39552,ε13471,ἐπιψαλμός,n,----------,,,,,,0
39553,ε13472,ἐπιψαμμίζω,v,----------,,,,,,0
39554,ε13473,ἐπιψαύδην,r,----------,,,,,,0
39555,ε13474,ἐπίψαυσις,n,n-s---fn3v,ἐπιψαυσέως,,,,,0
39556,ε13475,ἐπιψαύω,v,----------,,,,,,0
39557,ε13476,ἐπιψαφίδδω,v,----------,,,,,,0
39558,ε13477,ἐπιψάω,v,----------,,,,,,0
39559,ε13478,ἐπιψέγω,v,----------,,,,,,0
39560,ε13479,ἐπιψεκάζω,v,----------,,,,,,0
